id_supplier,address,blacklisted,contact_person,date_added,email,industry,is_preferred_supplier,last_updated,name,phone_number,rating,reliability_score,status,tax_id,total_contract_value,under_review
83320.0,"1219 Johnson Rue Stephenschester, FM 10334",1.0,Michael Mitchell,2023-10-07,qriley@example.com,,0,2021-03-19,Jones-Stone,(816)652-9681,A,92.0,Pending,638682040,53787.73,1
44701.0,USS Hart FPO AP 09759,1.0,Judith Hughes,###invalid###,michellearmstrong@example.net,###invalid###,1,2025-04-18,Cook and Sons,823.695.8339x443,B,50.0,Active,862393626,84213.09,0
90675.0,"87323 Lisa Shoals South Kristenhaven, MS 97532",1.0,Miss Alyssa Smith,2023-11-28,anthonymiller@example.org,Consulting,0,2023-07-07,Lee-Mendoza,,B,99.0,Inactive,997823219,41474.16,0
,"80662 Watkins Prairie Howardburgh, VA 03150",0.0,Chris Gilbert,2023-01-08,swilson@example.net,Plumbing,1,2021-09-07,Francis-Kelly,3069584886,C,,Active,844547885,58103.21,0
10133.0,"059 Michelle Glen West Stephanieborough, ME 32872",1.0,Gregory Hart Jr.,2022-04-17,david07@example.net,Construction,1,2024-11-26,"Grant, Smith and Clark",(920)525-0802x8357,A,79.0,Active,25252396,89915.63,0
21182.0,"70837 Price Mill Apt. 705 Russellville, HI 40606",1.0,Sandra Mcknight,2023-11-14,stephanie31@example.net,Electrical,1,2023-03-12,"Powers, Copeland and Carlson",001-993-624-0387x8511,B,,###invalid###,751967988,82800.08,0
,"PSC 0158, Box 2077 APO AE 57815",1.0,Tristan Brown,2025-04-18,dunlapnicholas@example.com,Consulting,0,2021-02-07,Hardy-Ortiz,,C,83.0,Inactive,913294896,32761.92,0
73900.0,"736 Selena Camp Suite 222 Lake Matthewfurt, PA 28237",1.0,Timothy Smith,2021-03-13,ernest32@example.org,Consulting,0,2021-03-06,Duran Group,(543)758-9669,C,96.0,Inactive,,40525.67,0
50071.0,"8456 Joseph Loop Suite 169 Griffinmouth, AK 73469",0.0,Jeff Marquez,2022-01-26,antonio53@example.org,Electrical,1,2020-01-01,Sandoval PLC,+1-624-716-6719x6874,C,67.0,Active,151604804,14804.96,0
42905.0,"15601 Alicia Village Apt. 394 Katherinemouth, FM 97357",0.0,Heather Davis,2023-06-12,smithkenneth@example.com,Consulting,1,2021-11-17,"Valdez, Ross and Dawson",764.984.0470,B,92.0,Active,114947204,99703.93,1
56103.0,USCGC Rodriguez FPO AA 97304,1.0,Jennifer Nolan,2022-04-06,montgomerytiffany@example.com,Plumbing,0,2020-04-21,"Young, Perkins and Duke",(525)934-9454,,57.0,Pending,192420364,32496.57,1
31439.0,"998 Heather Lodge Apt. 732 New Priscilla, DE 35401",1.0,Nathan Sutton,2025-03-18,xspence@example.net,###invalid###,1,2023-08-09,Fischer-Le,001-555-931-1076x188,C,70.0,Pending,858427397,23760.44,0
97717.0,"6172 Stefanie Cove Apt. 331 West Derrick, HI 90164",0.0,Deborah Martinez,###invalid###,brooksraymond@example.org,Electrical,1,2023-10-23,Ball and Sons,001-888-341-0007,B,89.0,Inactive,803330127,28938.32,1
77797.0,"89935 Glover Village New Jenniferfurt, KY 04241",1.0,Dalton Hart,2020-02-07,allenwilliams@example.net,Electrical,0,2024-11-07,"Gonzales, Holt and Wallace",,B,74.0,Pending,479024134,25397.57,0
88082.0,"32046 Caitlin Locks Harrischester, IA 18209",1.0,Edward Gill,2022-07-05,,Construction,0,2021-07-15,Harper PLC,205-713-3139x733,B,88.0,Inactive,,51342.63,1
34272.0,"192 Daniel Park Fergusonburgh, RI 72664",0.0,Shannon Mccarthy,2024-12-02,beardkelly@example.com,Construction,0,2023-04-10,"Castro, Hayes and Booth",3674239141,C,74.0,Active,342361583,81588.78,1
47778.0,USNV Carlson FPO AP 24106,0.0,Mark Young,2023-11-25,garciapaul@example.net,Consulting,1,2024-01-18,Carter-Miranda,873.747.5013,C,52.0,Inactive,497077290,11751.41,0
24295.0,"25968 Patrick Port Lake Cynthia, NE 42241",1.0,Anthony Clayton,2021-10-07,amberevans@example.org,Consulting,0,2020-01-23,Hernandez-Holt,(265)813-8565x0033,A,77.0,Active,559080250,27618.74,1
35805.0,"662 Marvin Brook Mullenfurt, AR 77713",1.0,Patrick Randolph,2022-12-18,cfigueroa@example.com,Electrical,1,2023-01-01,Abbott PLC,328-370-3143x295,C,88.0,Active,936274298,70260.55,0
65784.0,"132 Rodgers Mall Sheilaville, OK 44220",1.0,Catherine Cooper,2024-12-06,stevenkirk@example.org,Electrical,0,2023-03-20,Rosario-Thornton,###invalid###,C,68.0,Pending,323710108,60072.42,0
48298.0,"0713 Edward Extension Natalietown, NJ 67123",0.0,Alyssa Campbell,2023-10-16,gbrown@example.org,Consulting,0,2024-10-26,"West, Kelly and Graham",486.270.9468x37508,A,82.0,Pending,698502901,98709.91,0
98241.0,"614 Hess Valleys Apt. 137 West Raymond, NV 17421",1.0,Karen Harris,2024-12-24,taylormccarthy@example.net,Plumbing,0,2024-07-10,Cortez-Johnson,001-900-544-9087x0654,C,68.0,Pending,494057024,80118.31,0
42586.0,"709 Rodriguez Mountain Lake Debbietown, VA 92702",1.0,James Roth,2021-03-04,bryan67@example.net,,1,2025-02-04,Smith Inc,(298)500-8424,###invalid###,76.0,Inactive,968070632,64597.3,0
69328.0,"632 Flynn Square East Jasonport, IA 31771",0.0,Steven Ross,2024-06-14,gonzalestonya@example.net,Plumbing,1,2020-04-10,###invalid###,001-809-295-0427,B,###invalid###,,854636596,50850.41,1
64393.0,"631 Marcus Shoal East Ethan, VI 87361",0.0,Travis Herrera,2023-12-26,xmays@example.net,Construction,1,2025-01-03,Mckee-Smith,414-467-1892,B,77.0,Inactive,,35400.82,0
95106.0,"1260 Daniel Trail East Raymond, NC 92168",1.0,Robert Smith,2021-06-18,carolvazquez@example.org,,0,2025-04-14,Mccarthy PLC,347-878-2379,A,59.0,Pending,265511891,17454.67,0
74461.0,"632 Miles Brook Apt. 213 West Ashley, CA 87018",0.0,Tasha Downs,2023-05-10,brownlatasha@example.net,Consulting,0,2023-06-01,Hall-Richardson,(769)647-6762,,###invalid###,Inactive,565306380,62428.07,1
39025.0,"130 Kim Villages Apt. 655 Isaacfurt, SD 16366",0.0,,2024-05-05,espinozaeric@example.net,Consulting,0,2022-07-11,Hayes PLC,001-711-598-7844,A,76.0,Active,889553123,28353.29,1
63116.0,"34183 Anne Terrace Allisonville, ID 92970",1.0,Lynn Harrell,2020-06-22,baileydaniel@example.org,Electrical,1,2021-03-26,Sexton LLC,(887)253-6972x13280,A,,Active,642638504,82678.4,
80877.0,"92163 Allison Dale Apt. 830 West Jonathantown, CT 78079",1.0,Kenneth Brown,2020-02-14,osanchez@example.net,Plumbing,1,2023-11-16,Day-Saunders,(738)961-4695,C,50.0,Pending,47818576,64018.27,0
58323.0,,1.0,Claudia Vasquez,2020-10-01,###invalid###,Consulting,0,2023-04-07,Medina-Mora,(269)426-1787x72851,C,###invalid###,Inactive,397964348,68330.29,1
99406.0,"729 Robin Overpass Suite 261 New Patrick, UT 04274",0.0,Gregory Johnson,2020-02-04,paula16@example.com,Electrical,1,2024-03-31,"Huffman, Bolton and Bradley",389-712-4906x25908,A,88.0,Active,670890123,83957.64,0
48889.0,"619 Bryan Estates South Andrewbury, AZ 08788",###invalid###,Samantha Hull,2020-03-14,kayla64@example.net,Plumbing,0,2022-04-20,"Clements, Johnson and Reynolds",203-584-7305,A,83.0,,383008415,96550.89,0
55032.0,"196 Jones Mall Apt. 278 Taylorchester, NJ 81338",0.0,William Phillips,2024-11-12,lopezgary@example.com,Construction,0,2020-09-27,Lopez-Skinner,,C,63.0,Inactive,266383250,29201.76,0
99914.0,"5145 Yang Plaza New Mistyhaven, AR 24705",1.0,Geoffrey Gonzalez,2021-04-26,abass@example.net,Construction,1,###invalid###,Garcia and Sons,(287)830-4953x42712,A,89.0,Inactive,843595158,93396.74,1
51022.0,"59236 Yu Divide Woodshaven, RI 24075",1.0,Gabriel Smith,2023-07-24,fergusonjoseph@example.com,Electrical,0,2020-06-20,Smith PLC,851-203-4390x808,C,76.0,Active,589196297,88250.77,1
37371.0,"9790 Thomas Drives West Emilyborough, ME 81134",0.0,###invalid###,2023-01-18,laura28@example.org,Electrical,0,2024-05-08,Knight-White,607.760.8372x445,C,60.0,Inactive,946173401,63498.78,0
78772.0,USS Frye FPO AE 52360,0.0,Joy Coleman,2023-12-06,qsmith@example.net,Construction,0,2020-11-01,Mccarthy-Morris,+1-511-224-5781x7748,A,56.0,Inactive,365122097,39073.92,0
42211.0,"148 Kayla Hill Suite 735 West Danielleville, FM 66631",1.0,Jennifer Montgomery,2021-04-28,richardsonlauren@example.com,Construction,1,2025-03-14,"Walker, Franklin and Nielsen",+1-411-731-8478x2991,###invalid###,50.0,Inactive,84290491,,###invalid###
45881.0,"8577 White Rest Clarkton, CT 88657",0.0,Allen Farmer,2022-06-19,michaeltaylor@example.org,Plumbing,1,,"Hensley, Smith and Dunn",943-355-7105,C,74.0,Inactive,,95384.38,1
37032.0,"PSC 0358, Box 1911 APO AE 79528",,Debra Holt,2023-01-28,,Consulting,0,2021-07-24,Hughes PLC,(814)498-2140,C,90.0,Inactive,476768833,58269.03,
50908.0,###invalid###,0.0,Jason Gonzales,2024-02-18,joannmartin@example.net,Consulting,0,2022-02-09,Graham-Gilbert,001-266-474-4569x1849,A,84.0,Inactive,163793898,81047.01,1
74037.0,###invalid###,1.0,Jacob Pitts,2022-05-30,davidmartinez@example.org,Plumbing,1,2024-08-27,"Rogers, Gonzalez and Compton",,C,73.0,Active,958070114,81033.23,0
40007.0,USS White FPO AE 10720,0.0,Abigail Owens,2023-08-23,julie76@example.org,Electrical,1,2020-12-30,,+1-254-509-9869x59286,C,73.0,Inactive,770951417,,0
435.0,USNV Garcia FPO AA 07887,0.0,Stephen Lopez,2020-02-25,nclark@example.com,Construction,1,2022-02-15,Turner-Phillips,978-931-8703x214,C,78.0,Pending,860871891,25621.32,0
91853.0,"437 Daniels Corner Apt. 267 North Andrewview, PW 74297",0.0,Katie Duncan,2020-12-13,ohenry@example.org,Electrical,0,2022-12-17,Schmitt LLC,001-304-674-5216x1066,A,84.0,Active,160075526,82579.22,0
59319.0,"496 Martinez Underpass Apt. 952 Port Billy, NJ 37008",0.0,Elizabeth Long,2021-03-31,reynoldsdebra@example.com,Consulting,1,2020-07-16,###invalid###,527.562.5259,,86.0,###invalid###,248332742,,0
43224.0,"660 Claudia Knoll Darrylfurt, KS 55098",0.0,Laurie Robbins,2020-04-08,matthew51@example.net,Construction,0,2023-03-22,"Sanchez, Molina and Lucas",001-963-541-2403x49130,C,96.0,Active,924008205,59869.29,0
34799.0,"204 Hampton Locks Apt. 701 Port Michael, KS 75907",0.0,Michael Gardner,2023-10-24,littlelisa@example.org,,0,2025-04-22,"Davis, Lopez and Jones",(409)816-7780x2500,C,96.0,Active,533594448,82100.44,1
,"96346 Brandi Cliffs Suite 696 New Amanda, SD 47030",0.0,###invalid###,2020-10-14,nguyenjacob@example.com,Electrical,1,2023-10-25,Sanchez LLC,(815)470-9482x8625,C,100.0,,195687695,,0
###invalid###,"796 Ashley Ridge Jamesmouth, VA 06828",1.0,Alejandro Martinez,2020-09-26,zacharyrogers@example.com,Consulting,1,2021-12-14,Baldwin Ltd,+1-663-317-8406x719,,67.0,Active,###invalid###,62115.49,0
78347.0,"4062 Robinson Coves Apt. 395 Fryside, NJ 38078",###invalid###,Monica Nicholson,2022-06-30,adrianhess@example.net,Electrical,1,2020-09-08,"Campbell, Lee and Galvan",(736)238-8205,B,59.0,Inactive,352962835,###invalid###,1
73677.0,"128 Maldonado Turnpike New Bethanyshire, VI 35802",1.0,Matthew Johnson,2021-08-21,carsondesiree@example.org,Consulting,1,2025-04-07,Stephenson-Rios,474-547-8388x1874,,70.0,,613435858,,1
17809.0,"258 Mitchell Corner Suite 243 East Sandra, CT 08597",0.0,Norma Ellis,2024-04-14,bradleybrittany@example.com,Plumbing,1,2023-08-08,"Mcconnell, Vasquez and Johnson",+1-763-307-5245,B,52.0,Inactive,306915837,15234.19,1
2980.0,"22072 Andrew Curve Gregoryhaven, MT 11772",###invalid###,Ashley Rodriguez,2025-01-27,###invalid###,Construction,,2022-09-06,Silva Inc,3977202080,C,,Pending,289654223,48859.93,1
38399.0,"23216 James Walks West Sara, OR 97255",0.0,Amber Dennis,2022-01-03,ogarcia@example.org,Consulting,0,2022-10-17,Miller Ltd,(301)532-9645,B,58.0,Active,220393311,55643.27,0
89905.0,"50321 Kristina Land Suite 747 Jontown, OH 62720",1.0,,2023-02-18,###invalid###,,0,2023-04-11,Adams-Martinez,989.490.6988,B,60.0,Active,110847296,88812.5,0
11041.0,"1053 Jessica Junctions Duffymouth, DC 24004",,Michael Valdez,2024-12-22,angela13@example.org,Electrical,0,2020-09-17,"Powers, Fowler and White",976-610-3516,B,51.0,Inactive,,49377.6,1
5519.0,"9721 Young Glens Suite 219 New Keithville, WY 37146",###invalid###,Nicole Moreno,2024-03-28,kevindouglas@example.net,Plumbing,0,2020-05-14,Curtis and Sons,(426)818-3903,A,92.0,Pending,353984489,11049.04,0
34586.0,"6355 Rodgers Ridges Johnsonchester, WY 95030",1.0,Brian Blackburn,2020-01-15,###invalid###,Construction,1,2023-11-11,Martinez LLC,001-723-372-0050x106,B,100.0,Active,250119199,38313.71,
958.0,"3689 Nicholas Terrace New Lee, HI 41711",1.0,Darren Caldwell,2023-04-15,yjensen@example.com,Construction,0,2024-04-19,"Griffith, Smith and Jones",(359)795-4702,B,79.0,Pending,903499598,42332.66,0
37790.0,"76562 Douglas Lake Simmonsville, MN 71237",0.0,Kyle Rush,2020-10-21,mcarter@example.com,Plumbing,0,,"Ortiz, Porter and Salas",610.993.9228,C,87.0,Pending,436300096,49841.51,0
74010.0,"05369 George Fort Suite 481 East Bryan, DC 64942",1.0,Joshua Black,2021-02-11,zmullins@example.net,Construction,1,2024-12-08,"English, Mack and Garcia",(473)503-6572x16705,C,75.0,Inactive,591366750,93682.24,0
49197.0,"844 Anthony Shoals Kristastad, AZ 99653",1.0,Roger Johnson,2024-07-09,daisy25@example.net,,0,2025-02-15,"Choi, Ballard and Wagner",+1-557-671-8388x32405,A,51.0,Inactive,,86620.88,0
86200.0,"9724 Walker Circles East Benjamintown, AK 20690",1.0,Richard Wall,2025-04-13,joyburke@example.com,Consulting,1,2021-01-21,Anderson and Sons,+1-929-387-0286x35200,B,59.0,Pending,611996818,19012.15,1
25895.0,"14127 Joseph Mountains Denisestad, VA 50746",1.0,Thomas Ford,2023-01-16,cameronnunez@example.net,Electrical,0,2022-01-08,"Long, Collins and Campbell",9504273494,A,97.0,Inactive,103711976,,0
94982.0,"PSC 0414, Box 0786 APO AE 95854",0.0,Tracy Hubbard,2021-09-21,riveraanna@example.org,Consulting,,2022-09-16,"Davis, Gibson and Mitchell",001-378-959-1013,B,75.0,Inactive,601344860,57474.86,0
34517.0,"92551 Andrea Burg Apt. 972 Lake George, UT 43674",1.0,Taylor Nguyen,2020-05-04,dfoster@example.net,Plumbing,0,2023-10-31,Jones-Massey,(205)308-2086x6053,A,79.0,Pending,800574591,79887.4,0
22342.0,"93772 Alexa Rapid East Stevenberg, MD 97513",1.0,Phyllis Lloyd PhD,2020-10-23,benjamin25@example.org,,1,2024-08-25,Sanchez LLC,+1-527-828-5039x963,,55.0,Active,,,0
97956.0,"6385 Johnson Mountains East Krystalland, VA 78967",1.0,Thomas Gallagher,2023-02-21,johnsonjon@example.org,Consulting,0,2022-07-05,,757-873-7838,C,83.0,Pending,753208639,43454.39,1
55642.0,"PSC 9651, Box 2717 APO AE 35793",0.0,,2024-06-13,myersjessica@example.com,Plumbing,1,2024-01-12,"Williamson, Brown and Garcia",658-271-7356x64235,C,72.0,Pending,536949595,31431.59,0
9666.0,"99013 Hood Forks Apt. 156 East Joshua, MI 50009",0.0,Sarah Holt,2020-04-03,canderson@example.com,Consulting,0,2021-06-12,Gilmore-Kim,+1-324-837-5024,B,64.0,Active,839858727,61272.89,1
29658.0,"99268 Jason Harbors Hodgeton, AS 95905",1.0,Judith Lindsey,2023-11-07,nicole18@example.com,Consulting,0,2020-10-05,"Austin, Peterson and Ho",(996)694-8714,A,74.0,Active,809068842,55688.2,1
9058.0,"151 Nguyen Lake Lake Luis, WY 27546",,Lori Rivera,2023-10-05,jacqueline74@example.net,Plumbing,0,2021-03-06,Potter Ltd,974-729-3181,A,88.0,Pending,571956381,19717.15,1
20391.0,"145 Megan Inlet Apt. 542 Scottville, VA 77608",1.0,Phillip Williams,2024-03-06,dcarr@example.com,Electrical,0,2020-01-16,Myers and Sons,(598)940-1166,B,65.0,Pending,57428487,57921.94,1
80676.0,"48151 Johnson Squares Suite 673 East Kelseymouth, NV 75531",0.0,Kimberly Fox,2021-07-28,ljohnson@example.org,Construction,0,2021-02-04,"Washington, Reed and Wheeler",954-508-3644,B,,Pending,706707417,51667.69,1
71136.0,Unit 8081 Box 3629 DPO AP 57196,0.0,Phillip Hebert,2022-08-06,nicholas72@example.com,Electrical,0,2024-11-30,Johnson-Smith,001-566-701-8025x72842,A,78.0,Inactive,,94097.59,0
81373.0,"899 Benjamin Crest Apt. 939 Wisemouth, MN 45269",0.0,Stephanie Carr,2021-09-25,parksabrina@example.org,Plumbing,0,2022-07-31,Delgado-Hawkins,(893)857-1248x66156,C,,Inactive,415354975,48664.81,1
14312.0,"318 Bailey Trafficway Carlsonview, MO 03331",0.0,Courtney Hahn,2020-12-09,jocelynpoole@example.org,Construction,0,2023-12-24,"Smith, Herrera and Huynh",814-402-9086x07122,B,91.0,Active,593155409,93457.82,
73692.0,"95858 Sarah Spring Apt. 119 Francesmouth, NJ 15919",0.0,Kari Thomas,2022-11-21,fsnyder@example.net,Construction,0,2024-08-01,"House, Velazquez and Velasquez",643-224-6082,C,69.0,Active,528939807,59661.69,0
64674.0,"465 Kevin Stravenue Andreaville, MA 02789",,Philip Parrish,2021-12-06,mitchellkathleen@example.org,Electrical,1,2023-03-17,Gibbs PLC,(970)995-2830x383,B,93.0,Inactive,,36224.13,0
33258.0,"769 Michael Roads South Jayshire, MN 57139",1.0,Kelly Figueroa,2022-07-14,carlacarter@example.com,Construction,0,2022-03-04,Hicks-Woods,+1-768-294-3333x91295,A,63.0,Active,218490654,46840.19,1
31358.0,"1418 Karen Land Suite 769 Davidhaven, MT 19562",1.0,Gerald Jenkins,2020-04-30,cody93@example.com,Consulting,0,2024-10-16,###invalid###,664.710.9522x80682,C,56.0,Pending,466999767,85164.5,0
31665.0,"991 Robert Mission Apt. 893 New Aaronmouth, MO 87694",0.0,Katherine Richardson,2021-07-15,michaelrobinson@example.net,Electrical,1,2020-06-16,"Parker, Wood and Brown",904-515-8717,A,91.0,Pending,407649611,20352.91,0
12266.0,"41879 Andrews Squares Port Daniel, AK 33160",1.0,Gregory Adams,2022-02-23,###invalid###,Consulting,0,2022-03-20,Chapman and Sons,318-988-3905,###invalid###,77.0,Pending,258675215,72402.11,0
56211.0,"34231 Hernandez Ports Apt. 376 Hortonport, ME 29346",0.0,Samantha Edwards,2024-04-19,uwarner@example.net,Plumbing,0,###invalid###,Mayer PLC,,B,95.0,Inactive,832649645,64793.33,0
34094.0,###invalid###,0.0,Rachel Hall,2021-04-15,curtis23@example.com,Electrical,1,2022-06-14,Chan PLC,(908)589-3720x18696,C,80.0,Inactive,796401100,72399.18,0
58314.0,"6861 Steele Meadows Apt. 089 South Eric, NY 30444",1.0,Max Estrada,2022-04-13,samanthascott@example.net,Electrical,,2020-12-15,Jimenez-Jones,595.663.3537x5379,B,90.0,Active,593403612,67505.76,1
67053.0,"13674 Hurley Groves Suite 156 East Alanport, ND 11991",1.0,Joshua Davis,2024-05-20,heidi09@example.org,Electrical,,2020-03-14,Short-Mosley,(958)245-6660,A,###invalid###,,,42652.72,0
21886.0,Unit 6516 Box 6000 DPO AA 93503,1.0,Stephen Foley,2025-02-10,mking@example.org,Electrical,1,2025-03-28,Hawkins-Jennings,(527)548-7431x4032,C,78.0,Pending,642702307,###invalid###,1
75529.0,"778 Kramer Passage Edwardsland, OH 58987",0.0,Ashley Wilcox,2023-02-07,oodom@example.org,Consulting,1,2022-09-23,Jones PLC,3596627539,C,69.0,Active,,20048.68,0
25420.0,"42608 Reeves Drives South Jessicamouth, LA 75747",1.0,Tammy Williams,,thomasjonathan@example.net,Consulting,1,###invalid###,Fox-Floyd,7352815246,A,50.0,Inactive,744498544,35174.13,0
57913.0,"5925 Ryan Parkways Apt. 751 Alexanderfurt, MT 85542",0.0,David Silva,2022-06-16,aaron49@example.org,Electrical,0,2020-09-08,Guzman-Davies,680-941-9409x5816,B,68.0,Inactive,557206507,13150.47,0
